"number","name"
"01428","HOLIDAY SPL"
"01434","HOLIDAY SPL"
"01453","HOLIDAY SPL"
"01454","HOLIDAY SPL"
"01455","HOLIDAY SPL"
"01456","HOLIDAY SPL"
"01495","HOLIDAY SPL"
"01496","HOLIDAY SPL"
"01656","HOLIDAY SPL"
"01659","HOLIDAY SPL"
"01705","HOLIDAY SPL"
"01706","HOLIDAY SPL"
"01707","HOLIDAY SPL"
"02050","GATIMAAN INAGRL"
"02081","02081 JP-SIKR PASSENGER"
"02082","02082 SIKR-JP PASSENGER"
"02087","02087 JP-SIKR PASSENGER"
"02088","02088 SIKR JP PASSENGER"
"02089","02089 JP SIKR SPL"
"02090","02090 SIKR JP SPL"
"02117","GNT KCG SPL"
"02118","KCG GNT SPL"
"02121","GNT KCG SPL"
"02122","KCG GNT SPL"
"02123","HOLIDAY SPL"
"02125","HOLIDAY SPL"
"02171","JAT SUVIDHA SPL"
"02172","JAT CSTM SUIVDH"
"02186","HOLIDAY SPL"
"02285","YPR SUVIDHA SPL"
"02286","YPR SC SUVIDHA"
"02540","02540 DJ - NJP SPECIAL"
"02541","02541 NJP - DJ PASS SPL"
"02651","HOLIDAY SPL"
"02652","HOLIDAY SPL"
"02721","KCG GNT SPL"
"02722","GNT KCG SPL"
"02779","VSG SBC LINK EX"
"02807","HOLIDAY SPL"
"02808","HOLIDAY SPL"
"02811","HOLIDAY SPL"
"02853","SUVIDHA TRAIN"
"02854","SUVIDHA TRAIN"
"02877","02877 VSKP KJM SUVIDHA"
"02878","02878 KJM VSKP SUVIDHA"
"03040","HOLIDAY SPL"
"03132","GKP ASN  SPL"
"03217","HOLIDAY SPL"
"03218","HOLIDAY SPL"
"03291","HOLIDAY SPL"
"03292","HOLIDAY SPL"
"03429","MLDT ANVT SPL"
"03557","HOLIDAY SPL"
"03558","HOLIDAY SPL"
"03561","HOLIDAY SPL"
"03563","HOLIDAY SPL"
"03564","HOLIDAY SPL"
"03565","HOLIDAY SPL"
"03566","HOLIDAY SPL"
"03567","HOLIDAY SPL"
"03568","HOLIDAY SPL"
"03569","HOLIDAY SPL"
"03570","HOLIDAY SPL"
"03571","HOLIDAY SPL"
"03572","HOLIDAY SPL"
"03575","HOLIDAY SPL"
"03651","HOLIDAY SPL"
"03652","HOLIDAY SPL"
"04111","HOLIDAY SPL"
"04112","HOLIDAY SPL"
"04113","HOLIDAY SPL"
"04114","HOLIDAY SPL"
"04191","HOLIDAY SPL"
"04192","HOLIDAY SPL"
"04402","HOLIDAY SPL"
"04407","MAIL EXPRESS"
"04408","MAIL EXPRESS"
"04414","NDLS LKO AC SPL"
"04417","HOLIDAY SPL"
"04421","KGM NDLS SPL"
"04422","NDLS KGM SPL"
"04425","HOLIDAY SPL"
"04435","RTM NZM AC SPL"
"04436","NZM RTM SF SPL"
"04441","HOLIDAY SPL"
"04504","HOLIDAY SPL"
"04723","HOLIDAY SPL"
"04724","HOLIDAY SPL"
"04733","HOLIDAY SPL"
"04735","HOLIDAY SPL"
"04736","HOLIDAY SPL"
"04737","HOLIDAY SPL"
"04738","HOLIDAY SPL"
"04751","HOLIDAY SPL"
"04753","HOLIDAY SPL"
"04754","HOLIDAY SPL"
"04765","HOLIDAY SPL"
"04766","HOLIDAY SPL"
"04767","HOLIDAY SPL"
"04768","HOLIDAY SPL"
"04769","HOLIDAY SPL"
"04770","HOLIDAY SPL"
"04771","HOLIDAY SPL"
"04772","HOLIDAY SPL"
"04801","HOLIDAY SPL"
"04802","HOLIDAY SPL"
"04804","HOLIDAY SPL"
"04805","HOLIDAY SPL"
"04806","HOLIDAY SPL"
"04807","HOLIDAY SPL"
"04808","HOLIDAY SPL"
"04809","HOLIDAY SPL"
"04810","HOLIDAY SPL"
"04811","HOLIDAY SPL"
"04812","HOLIDAY SPL"
"04851","HOLIDAY SPL"
"04852","HOLIDAY SPL"
"04911","DBG UMB SPL"
"04918","HOLIDAY SPL"
"04921","HOLIDAY SPL"
"04922","HOLIDAY SPL"
"04923","HOLIDAY SPL"
"04924","HOLIDAY SPL"
"04991","04991 PTK-JAT DEMU SPECIAL"
"04992","04992 JAT-PTK DEMU SPECIAL"
"04997","HOLIDAY SPL"
"04998","HOLIDAY SPL"
"05009","HOLIDAY SPL"
"05010","HOLIDAY SPL"
"05059","HOLIDAY SPL"
"05060","HOLIDAY SPL"
"05061","HOLIDAY SPL"
"05062","HOLIDAY SPL"
"05065","HOLIDAY SPL"
"05066","HOLIDAY SPL"
"05097","HOLIDAY SPL"
"05098","HOLIDAY SPL"
"05101","HOLIDAY SPL"
"05102","HOLIDAY SPL"
"05105","HOLIDAY SPL"
"05106","HOLIDAY SPL"
"05227","HOLIDAY SPL"
"05305","HOLIDAY SPL"
"05306","HOLIDAY SPL"
"05309","HOLIDAY SPL"
"05310","HOLIDAY SPL"
"05313","HOLIDAY SPL"
"05314","HOLIDAY SPL"
"05315","HOLIDAY SPL"
"05316","HOLIDAY SPL"
"05448","HOLIDAY SPL"
"05513","HOLIDAY SPL"
"05514","HOLIDAY SPL"
"05515","HOLIDAY SPL"
"05516","HOLIDAY SPL"
"05524","HOLIDAY SPL"
"05527","HOLIDAY SPL"
"05529","HOLIDAY SPL"
"05530","HOLIDAY SPL"
"05535","HOLIDAY SPL"
"05583","HOLIDAY SPL"
"05584","HOLIDAY SPL"
"05585","HOLIDAY SPL"
"05586","HOLIDAY SPL"
"05587","HOLIDAY SPL"
"05588","HOLIDAY SPL"
"05593","HOLIDAY SPL"
"05594","HOLIDAY SPL"
"05595","HOLIDAY SPL"
"05596","HOLIDAY SPL"
"05602","NDLS SCL SPECIA"
"05613","HOLIDAY SPL"
"05614","HOLIDAY SPL"
"05615","HOLIDAY SPL"
"05616","HOLIDAY SPL"
"05621","HOLIDAY SPL"
"05622","HOLIDAY SPL"
"05624","HOLIDAY SPL"
"05625","HOLIDAY SPL"
"05655","HOLIDAY SPL"
"05663","HOLIDAY SPL"
"05664","HOLIDAY SPL"
"05665","HOLIDAY SPL"
"05666","HOLIDAY SPL"
"05677","HOLIDAY SPL"
"05678","HOLIDAY SPL"
"05689","HOLIDAY SPL"
"05690","HOLIDAY SPL"
"05715","05715 GAREEB NAWAZ EYRAKE"
"05716","05716 GAREEB NAWAZ EYRAKE"
"05726","HOLIDAY SPL"
"05733","HOLIDAY SPL"
"05734","HOLIDAY SPL"
"05753","HOLIDAY SPL"
"05817","HOLIDAY SPL"
"05818","HOLIDAY SPL"
"05967","HOLIDAY SPL"
"05968","HOLIDAY SPL"
"06002","HOLIDAY SPL"
"06003","HOLIDAY SPL"
"06006","HOLIDAY SPL"
"06008","HOLIDAY SPL"
"06009","HOLIDAY SPL"
"06010","HOLIDAY SPL"
"06015","HOLIDAY SPL"
"06022","HOLIDAY SPL"
"06023","HOLIDAY SPL"
"06024","HOLIDAY SPL"
"06025","HOLIDAY SPL"
"06027","HOLIDAY SPL"
"06029","HOLIDAY SPL"
"06033","HOLIDAY SPL"
"06197","HOWRAH EXP"
"06228","MYSORE EXP"
"06343","HOLIDAY SPL"
"06344","HOLIDAY SPL"
"06345","HOLIDAY SPL"
"06346","HOLIDAY SPL"
"06504","06504 ADI-YPR WEEKLY SUVIDHA SP"
"06505","YPR BGKT SUVIDH"
"06539","HOLIDAY SPL"
"06540","HOLIDAY SPL"
"06541","HOLIDAY SPL"
"06542","HOLIDAY SPL"
"06591","06591 YPR-HSRA PASS SPL"
"06592","06592 HSRA-YPR PASS SPL"
"06595","06595 YPR-CBP PASS SPL"
"06596","06596 CBP-YPR PASS SPL"
"06606","HOLIDAY SPL"
"06607","HOLIDAY SPL"
"06709","HOLIDAY SPL"
"06710","HOLIDAY SPL"
"06712","HOLIDAY SPL"
"06713","HOLIDAY SPL"
"06731","HOLIDAY SPL"
"06732","HOLIDAY SPL"
"06733","HOLIDAY SPL"
"06734","HOLIDAY SPL"
"06735","HOLIDAY SPL"
"06736","HOLIDAY SPL"
"06737","HOLIDAY SPL"
"06738","HOLIDAY SPL"
"06739","HOLIDAY SPL"
"06740","HOLIDAY SPL"
"06741","HOLIDAY SPL"
"06742","HOLIDAY SPL"
"06743","HOLIDAY SPL"
"06744","HOLIDAY SPL"
"06769","HOLIDAY SPL"
"06770","HOLIDAY SPL"
"06819","HOLIDAY SPL"
"06820","HOLIDAY SPL"
"06851","HOLIDAY SPL"
"06852","HOLIDAY SPL"
"06919","HOLIDAY SPL"
"06920","HOLIDAY SPL"
"06948","UBL VSG LINK EX"
"07034","HOLIDAY SPL"
"07037","HOLIDAY SPL"
"07177","HOLIDAY SPL"
"07228","HOLIDAY SPL"
"07277","HOLIDAY SPL"
"07278","HOLIDAY SPL"
"07279","HOLIDAY SPL"
"07280","HOLIDAY SPL"
"07284","HOLIDAY SPL"
"07301","TALGUPPA EXP"
"07417","HOLIDAY SPL"
"07418","HOLIDAY SPL"
"07427","SC CCT  SPL"
"07501","HOLIDAY SPL"
"07502","HOLIDAY SPL"
"07516","HOLIDAY SPL"
"07517","HOLIDAY SPL"
"07740","HOLIDAY SPL"
"07745","HOLIDAY SPL"
"07751","HOLIDAY SPL"
"07757","HOLIDAY SPL"
"07928","HOLIDAY SPL"
"07929","HOLIDAY SPL"
"07940","HOLIDAY SPL"
"07941","HOLIDAY SPL"
"07944","HOLIDAY SPL"
"07947","HOLIDAY SPL"
"07948","HOLIDAY SPL"
"07950","HOLIDAY SPL"
"07953","HOLIDAY SPL"
"07955","HOLIDAY SPL"
"07956","HOLIDAY SPL"
"07957","HOLIDAY SPL"
"07958","HOLIDAY SPL"
"07959","HOLIDAY SPL"
"07963","07963 KSN-SC PUSHKARAM SPL"
"07964","07964 BZA-NS PUSHKARAM SPL"
"07965","HOLIDAY SPL"
"07966","HOLIDAY SPL"
"07967","HOLIDAY SPL"
"07968","HOLIDAY SPL"
"07969","HOLIDAY SPL"
"07970","HOLIDAY SPL"
"07971","HOLIDAY SPL"
"07972","HOLIDAY SPL"
"07973","HOLIDAY SPL"
"07975","HOLIDAY SPL"
"07976","HOLIDAY SPL"
"07977","HOLIDAY SPL"
"07979","HOLIDAY SPL"
"07980","HOLIDAY SPL"
"07981","HOLIDAY SPL"
"07982","HOLIDAY SPL"
"07983","HOLIDAY SPL"
"07984","HOLIDAY SPL"
"07985","HOLIDAY SPL"
"07987","HOLIDAY SPL"
"07988","HOLIDAY SPL"
"07989","HOLIDAY SPL"
"07990","HOLIDAY SPL"
"07991","07991 BZA-COA PUSHKARAM SPL"
"07992","07992 COA-BZA PUSHKARAM SPL"
"08001","HOLIDAY SPL"
"08002","HOLIDAY SPL"
"08014","HOLIDAY SPL"
"08017","HOLIDAY SPL"
"08018","HOLIDAY SPL"
"08035","HOLIDAY SPL"
"08036","HOLIDAY SPL"
"08051","HOLIDAY SPL"
"08052","HOLIDAY SPL"
"08183","HOLIDAY SPL"
"08184","HOLIDAY SPL"
"08243","BSP BGKTSPECIAL"
"08244","BGKT BSP SPL"
"08245","BSP BKN SPECIAL"
"08281","08281 KRBA- BSP PASS SPL"
"08282","08282 BSP-KRBA PASS. SPL."
"08302","08302 YPR-SBP SUVIDHA"
"08405","HOLIDAY SPL"
"08573","08573 VSKP-TPTY SUVIDHA"
"08574","08574 TPTY-VSKP SUVIDHA"
"08581","HOLIDAY SPL"
"08582","HOLIDAY SPL"
"08585","08585 TMR-G EMPTY SPL"
"08586","08586 G-TMR EMPTY SPL"
"08587","08587 TMR-G EMPTY SPL"
"08588","HOLIDAY SPL"
"08761","08761 EMPTY RAKE ONE"
"08762","08762 EMPTY RAKE TWO"
"08765","HOLIDAY SPL"
"08766","08766 EMPTY MEMU RAKE"
"08798","HOLIDAY SPL"
"08871","08871 G-DURG DEMU SPL"
"08872","08872 R-G PASS SPL"
"08878","HOLIDAY SPL"
"08882","HOLIDAY SPL"
"09001","HOLIDAY SPL"
"09013","09013 BCT - LJN WEEKLY AC SF"
"09151","HOLIDAY SPL"
"09152","HOLIDAY SPL"
"09309","INDORE SUVIDHA"
"09310","KCVL SUVIDHA SP"
"09329","HOLIDAY SPL"
"09415","HOLIDAY SPL"
"09602","HOLIDAY SPL"
"09610","HOLIDAY SPL"
"09623","AII BDTS SUVIDH"
"09625","UDZ AWR SF SPL"
"09627","HOLIDAY SPL"
"09628","HOLIDAY SPL"
"09702","RE JP SPL"
"09703","JP AWR SPL"
"09725","HOLIDAY SPL"
"09737","HOLIDAY SPL"
"09738","HOLIDAY SPL"
"09761","HOLIDAY SPL"
"09762","HOLIDAY SPL"
"09763","HOLIDAY SPL"
"09764","HOLIDAY SPL"
"09805","KOTA BTE SPECIA"
"09809","HOLIDAY SPL"
"09810","HOLIDAY SPL"
"10103","MANDOVI EXPRESS"
"10104","MANDOVI EXPRESS"
"10111","KONKAN KANYA EX"
"10112","KONKAN KANYA EX"
"10215","MADGAON ERS EXP"
"10216","MADGAON EXPRESS"
"11003","RAJYA RANI EXP"
"11004","RAJYA RANI EXP"
"11005","PUDUCHERRY EXP"
"11006","CHALUKYA  EXP"
"11007","DECCAN EXPRESS"
"11008","DECCAN EXPRESS"
"11009","SINHAGAD EXP"
"11010","SINHAGAD EXP"
"11011","LTT NANDED EXP"
"11012","NED LTT EXPRESS"
"11013","COIMBATORE EXP"
"11014","LOKMANYA TT EXP"
"11015","KUSHINAGAR EXP"
"11016","KUSHINAGAR EXP"
"11017","LTT KARAIKAL EX"
"11018","KIK LTT EXPRESS"
"11019","KONARK EXPRESS"
"11020","KONARK EXPRESS"
"11021","TIRUNELVELI EXP"
"11022","CHALUKYA  EXP"
"11023","SAHYADRI EXPRES"
"11024","SAHYADRI EXP"
"11025","BSL PUNE EXP"
"11026","PUNE BSL EXP"
"11027","CHENNAI MAIL"
"11028","MUMBAI MAIL"
"11029","KOYNA EXPRESS"
"11030","KOYNA EXPRESS"
"11031","SUR BIJAPUR EXP"
"11032","BJP SUR EXP"
"11033","DARBHANGA EXP"
"11034","DBG PUNE EXP"
"11035","SHARAVATHI EXP"
"11036","SHARAVATI  EXP"
"11037","PA GORAKHPUR EX"
"11038","GKP PUNE EXPRES"
"11039","MAHARASHTRA EXP"
"11040","MAHARASHTRA EXP"
"11041","CSTM CHENNAI EX"
"11042","MUMBAI EXPRESS"
"11043","MADURAI EXPRESS"
"11044","LOKAMANYA TT EX"
"11045","DIKSHABHOOMI EX"
"11046","DIKSHABHUMI EXP"
"11047","MIRAJ UBL EXP"
"11048","UBL MRJ EXPRESS"
"11049","KOLHAPUR EXPRES"
"11050","AHMEDABAD EXP"
"11051","SUR KOP EXP"
"11052","KOP SOLAPUR EXP"
"11053","LTT AZAMGARH EX"
"11054","AMH LTT EXP"
"11055","GODAN EXPRESS"
"11056","GODAN EXPRESS"
"11057","AMRITSAR EXPRES"
"11058","ASR CSTM  EXP"
"11059","CHHAPRA EXPRESS"
"11060","CPR LTT EXPRESS"
"11061","DARBHANGA EXP"
"11062","DBG LTT EXPRESS"
"11063","MS SALEM EXP"
"11064","SA CHENNAI EXP"
"11065","DARBHANGA  EXP"
"11066","DBG LTT EXPRESS"
"11067","SAKET EXPRESS"
"11068","SAKET EXPRESS"
"11069","TULSI EXPRESS"
"11070","TULSI EXPRESS"
"11071","KAMAYANI EXPRES"
"11072","KAMAYANI EXPRES"
"11073","LTT CHENNAI  EX"
"11074","CHENNAI LTT EXP"
"11075","LTT BIDR EXPRES"
"11076","BIDR LTT EXP"
"11077","JHELUM EXPRESS"
"11078","JHELUM EXPRESS"
"11079","LTT GKP EXPRESS"
"11080","GKP LTT EXPRESS"
"11081","LTT GKP EXPRESS"
"11082","GKP LTT EXP"
"11085","MAO DOUBLEDECKR"
"11086","LTT DOUBLEDECKE"
"11087","VERAVAL PUNE EX"
"11088","PUNE VERAVAL EX"
"11089","BGKTPUNE EXPRES"
"11090","PUNE BGKT EXP"
"11091","BHUJ PUNE EXP"
"11092","PUNE BHUJ EXP"
"11093","MAHANAGARI EXP"
"11094","MAHANAGARI EXP"
"11095","AHIMSA EXPRESS"
"11096","AHIMSA EXPRESS"
"11097","POORNA EXPRESS"
"11098","POORNA EXPRESS"
"11101","PUNE GWALIOR EX"
"11102","GWL PUNE EXP"
"11103","JHS BDTS EXP"
"11104","BDTS JHANSI EXP"
"11105","PRATHAM S S EXP"
"11106","PRATHAM S SNGRM"
"11107","BUNDELKHAND EXP"
"11108","BUNDELKHAND EXP"
"11109","JHS LJN  INT EX"
"11110","LJN JHS INT EXP"
"11111","GD SUSHASAN EXP"
"11112","GWL SUSHASAN EX"
"11123","BJU GWL MAIL"
"11124","GWL BJU MAIL"
"11125","IND GWALIAR EXP"
"11126","GWL INDB EXPRES"
"11201","LTT AJNI EXPRES"
"11202","AJNI LTT EXPRES"
"11203","NGP JAIPUR EXP"
"11204","JP NGP EXP"
"11205","LTT NZB EXPRESS"
"11206","NZB  LTT EXP"
"11207","NGP REWA EXP"
"11208","REWA NAGPUR EXP"
"11265","AMBIKAPUR EXPRE"
"11266","ABKP JBP EXPRES"
"11271","VINDHYACHAL EXP"
"11272","VINDHYACHAL EXP"
"11301","UDYAN EXPRESS"
"11302","UDYAN EXP"
"11303","HYB KOP EXPRESS"
"11304","KOP HYB EXPRESS"
"11305","CSTM SOLAPUR EX"
"11306","SOLAPUR CSTM EX"
"11401","NANDIGRAM  EXP"
"11402","NANDIGRAM  EXP"
"11403","NGP KOP EXPRESS"
"11404","KOP NAGPUR EXP"
"11405","PUNE AMI EXP"
"11406","AMI PUNE EXP"
"11407","PUNE LJN EXPRES"
"11408","LJN PUNE EXP"
"11423","SUR HUBLI EXP"
"11424","SOLAPUR EXPRESS"
"11447","SHAKTIPUNJ EXP"
"11448","SHAKTIPUNJ EXP"
"11449","JBP SVDK EXP"
"11450","SVDK JBP EXP"
"11451","INTERCITY EXP"
"11452","INTERCITY EXP"
"11453","PRERANA EXPRESS"
"11454","PRERANA EXPRESS"
"11463","SMNH JBP EXPRES"
"11464","JBP SOMNATH EXP"
"11465","SMNH JBP EXPRES"
"11466","JBP SOMNATH EXP"
"11471","INDB JBP EXP"
"11472","JBP INDB EXP"
"11651","SGRL  INTERCITY"
"11652","JBP INTERCITY E"
"11701","INDB INTERCITY"
"11702","JBP INTERCITY"
"11703","REWA INDB EXP"
"11704","REWA EXPRESS"
"12001","NDLS SHATABDI E"
"12002","BHOPAL SHTBDI"
"12003","LJN SWRAN SHTBD"
"12004","LJN SWRAN SHTBD"
"12005","KALKA SHTBDI"
"12006","KALKA SHTBDI"
"12007","SHATABDI EXP"
"12008","SHATABDI EXP"
"12009","SHATABDI EXP"
"12010","SHATABDI EXP"
"12011","KALKA SHTBDI"
"12012","KALKA SHTBDI"
"12013","AMRITSAR SHTBDI"
"12014","AMRITSAR SHTBDI"
"12015","AJMER SHTBDI"
"12016","AJMER SHTBDI"
"12017","DEHRADUN SHTBDI"
"12018","DEHRADUN SHTBDI"
"12019","SHATABDI EXPRES"
"12020","SHATABDI EXPRES"
"12021","BBN JANSHATABDI"
"12022","BBN JANSHATABDI"
"12023","JANSHATABDI EXP"
"12024","JANSHATABDI EXP"
"12025","SHATABDI EXP"
"12026","PUNE SHATABDI"
"12027","SHATABDI EXP"
"12028","SHATABDI EXP"
"12029","SWARNA SHTBDI"
"12030","SWARNA SHTBDI"
"12031","AMRITSAR SHTBDI"
"12032","AMRITSAR SHTBDI"
"12033","CNB NDLS SHT"
"12034","NDLS CNB SHT"
"12035","JP AF SHATABDI"
"12036","AF JP SHATABDI"
"12037","NDLS LDH SHTBDI"
"12038","LDH NDLS SHTBDI"
"12039","KGM NDLS SHT"
"12040","NDLS KGM SHT"
"12041","SHATABDI EXPRES"
"12042","NJP HWH SHATABD"
"12043","NDLS MOGA SHT"
"12044","NDLS SHATABDI"
"12045","NDLS CDG SHTBDI"
"12046","CDG NDLS SHTBDI"
"12047","NDLS BTI SHTBDI"
"12048","BTI NDLS SHTBDI"
"12049","GATIMAAN EXP"
"12050","GATIMAAN EXP"
"12051","JAN SHATABDI EX"
"12052","JAN SHATABDI EX"
"12053","HW ASR JNSHTBDI"
"12054","ASR HW JNSHTBDI"
"12055","DDN JANSHTBDI"
"12056","NDLS JANSHATABD"
"12057","UHL JANSHATABDI"
"12058","NDLS JANSHTBDI"
"12059","NZM JAN SHATABD"
"12060","KOTA JANSHTBDI"
"12061","JBP JANSHATABDI"
"12062","HBJ JANSHATABDI"
"12063","HW UHL LINK JSH"
"12064","UHL HW LINK JSH"
"12065","NZM JAN SHATABD"
"12066","AII JAN SHATABD"
"12067","JAN SHATABDI EX"
"12068","JAN SHATABDI EX"
"12069","JANSHATABDI EXP"
"12070","JANSHATABDI EXP"
"12071","JAN SHATABDI EX"
"12072","JANSHATABDI EXP"
"12073","BBS JAN SHATABD"
"12074","BBS JAN SHATABD"
"12075","JAN SHATABDI"
"12076","JAN SHATABDI"
"12077","JAN SHATABDI"
"12078","JAN SHATABDI"
"12079","JANSHATABDI EXP"
"12080","JAN SHATABDI EX"
"12081","JAN SHATABDI"
"12082","JAN SHATABDI"
"12083","JAN SHATABDI EX"
"12084","JAN SHATABDI EX"
"12101","JNANESWARI DELX"
"12102","JNANESWARISUPDL"
"12103","PA LUCKNOW EXP"
"12104","LJN PUNE EXP"
"12105","VIDARBHA EXPRES"
"12106","VIDARBHA EXPRES"
"12107","LUCKNOW SUP EXP"
"12108","LJN LTT EXPRESS"
"12109","PANCHAVATI EXP"
"12110","PANCHAVTI EXP"
"12111","CSTM AMRAVATI E"
"12112","AMRAVATI CSTM E"
"12113","NAGPUR GARIBRAT"
"12114","PUNE GARIBRATH"
"12115","SIDDHESHWAR EXP"
"12116","SIDDHESWAR EXP"
"12117","LTT MANMAD EXP"
"12118","MANMAD LTT EXP"
"12121","M P SMPRK KRNTI"
"12122","M P SMPRK KRNTI"
"12123","DECCAN QUEEN"
"12124","DECCAN QUEEN"
"12125","PRAGATI EXPRESS"
"12126","PRAGATI EXPRESS"
"12127","INTERCITY EXP"
"12128","INTERCITY EXP"
"12129","AZAD HIND EXP"
"12130","AZAD HIND EXP"
"12131","DR SAINAGAR EXP"
"12132","SAINAGAR DR EXP"
"12133","MANGALORE EXP"
"12134","MUMBAI EXP"
"12135","PUNE NAGPUR EXP"
"12136","NAGPUR PUNE EXP"
"12137","PUNJAB MAIL"
"12138","PUNJAB MAIL"
"12139","SEWAGRAM  EXP"
"12140","SEWAGRAM  EXP"
"12141","LTT PPTA EXPRES"
"12142","PPTA LTT EXP"
"12143","LTT SLN SUP EXP"
"12144","SLN LTT SF"
"12145","LTT PURI SUP EX"
"12146","PURI LTT SUP EX"
"12147","NIZAMUDDIN EXP"
"12148","NZM KOP EXP"
"12149","PUNE PPTA EXP"
"12150","PPTA PUNE EXP"
"12151","SAMARSATA EXP"
"12152","SAMARSATA EXP"
